标题,星级,内容,标签
The Cathay Way,4,"I have been flying with Cathay many times, with different in flight service experience. But the stard will always be there. Quick, fast attentive service crews, some where friendly some were not. The food is ok and entertainment is ok too. I still want to fly with Cathay Pacific.",North Asia' 'Premium Economy' 'Singapore - Seoul
Not so good,3,Return flight to Tokyo via Hong Kong from London Gatwick. We had checked in on line for our outbound flight. Luggage tags and bag drop automated but the nearby staff were pleasant and helpful. Flight to HK was fine. Leg room reasonable and fairly comfortable flight. Food was terrible and drinks service sparse. Choice of movies and TV was excellent....,International' 'Economy' 'London - Tokyo
Business as usual with a touch of excellence,4,"great check in ,fast and efficient.boarding was a bit tacky and unorganised ,on board service excellent ,great entertainment choice ,decently clean toilet but the on board food ( breakfast ) was sad ,not once but on two occasions that i flew last month. Also looks like the dinner menu ( return flight) hasn't been changed for years now ,its the...",Asia' 'Economy' 'Chennai (Madras) - Hong Kong
Wouldn't Fault Cathay Pacific,5,"Excellent seats, service, food and beverages. Choice of beer, wine & soft drinks with lunch.
Excellent selection of recent Movies / TV shows with good picture & sound quality.",International' 'Economy' 'Sydney - Hong Kong
CATHAY,4,"Older version of planes, staff were friendly and service was good. Entertainment systems were old just like the plane",North Asia' 'Economy' 'Ho Chi Minh City - Tokyo
"Flight comfort ok, Staff ok",3,"Sitting in the middle row with no screen for privacy was very disappointing.
Staff were ok, but not as efficient as previously experienced.
Overall ok",International' 'Business Class' 'Sydney - Hong Kong
Cathay Pacific - average,3,"Poor service in economy ,on a 12 hour flight they seem to put the lights out for 7 of those - not all passengers want to sleep . Food quality poor , if you need snacks in between you have to go to the galley and ask . The cabin crew are very pleasant and helpful if required . Seats...",International' 'Economy' 'Manchester - Hong Kong
MD,5,"Flight is 1.5 hours
Food was excellent
Wine is my favor one
Service was excellent
Clean and tidy
crew was delightful
lots movie selection
Too tired ate and slept all way through
Very enjoyable flight",International' 'First Class' 'Hong Kong - Vancouver
COMPETENT AND DEPENDABLE,4,"This was our second trip on Cathay Pacific. A few years ago we flew to Australia. This time it was via Hong Kong to Xian, China. We've learned we can rely on Cathay Pacific and will choose the airline for any future trips to asia.",International' 'Premium Economy' 'Los Angeles - Hong Kong
This airline has lost a lot of prestige ..,3,"I was so disappointed by this airline . it used to be a fabulous company . and it has lost a lot of its prestige. The premium economy was not very comfortable and the food was absolutely disgusting. it took forever to take the trays back on both trips.
I hope they are going to make a effort to regain...",International' 'Premium Economy' 'Brussels - Hong Kong
perfect customer service,5,"I just can add my recommendation to many others. We loved the service , food , entertainment , accuracy.",International' 'Economy' 'Tel Aviv - Osaka
Cattle call,3,"Terrible food and very crowded flight
Staff was not very friendly and seemed overworked and stressed
Seemed reluctant to help other travelers when the call light was used",International' 'Economy' 'Hong Kong - Los Angeles
Very Good Service,5,"Cathay Pacific had always been one of our favored airlines, but after a decline several years ago, we'd been disappointed. We liked the schedule on this flight from Vancouver, BC to Hong Kong, however, and decided to give it another try. Apparently, at least on this flight, Cathay is back in the game.
Check-in was easy, ground service was courteous,...",International' 'Business Class' 'Vancouver - Hong Kong
World class customer service in Vancouver,5,"I must preface this by saying I am rarely motivated to write reviews, but the level of service I received from Cathay Pacific and their team at YVR is unmatched.
On my flight to Vancouver I visited duty free in New York, as is my custom. The item I purchased was one bottle of scotch, which I stowed in the...",USA' 'Premium Economy' 'Vancouver - New York City
A very pleasant flight,4,"Flights with Cathay Pacific is always comfortable, but this trip is particularly pleasant. Thanks to two crew members who demonstrated sincerity when interacting with passengers.",International' 'Business Class' 'Hong Kong - Brisbane
Comfortable sleeping seat @ business class of Cathay Pacific,4,"A good sleeping facility for long-haul flight is very essential for starting a nice trip. I’m delighted to choose the business class of Cathay Pacific. Because of late booking, I got the last row seat. However, the single window seat with smart shell design brings me a more privacy. The seat is easy control to turn into a full flatbed....",International' 'Business Class' 'Hong Kong - Zurich
Excellent Airline,5,"Recently flew to Vietnam via HK with a few days stop over with Cathay having never used the airline was a bit anxious as usually use another well known airline but the minute I stepped on the plane I was greeted with warm smiles. Excellent service from all staff ,food good and seating comfortable will deff use airline again and...",International' 'Business Class' 'Dubai - Ho Chi Minh City
Good Flight,4,"Flight from Singapore to Bangkok in cattle class (economy). Sat in 2nd cabin of economy class where the PRC tourists were. Boarding was fine. Not much order for economy class boarding. In flight entertainment was good. Meal service was good. Overall flight was good. PRC tourists didn't comply with or ignored seatbelt signs, sitting down when taxing, etc and flight...",Southeast Asia' 'Economy' 'Singapore - Bangkok
Travel,5,"Very good. The business seats were comfortable in both flight good service. Ordered vegetarian meals had a good meal
Very clean and upleep",North Asia' 'Business Class' 'New Delhi - Qingdao
Good reliable service,4,"Good service. Premium economy good but I wouldn't pay much more than economy. Seats narrow, good legroom. Toilet only on one side of cabin makes it difficult to get to.",International' 'Premium Economy' 'London - Hong Kong
Excellent Service,5,"Excellent service, right from the checkin experience, to food , transit at Hong Kong, and flight onwards. Really a service oriented airline which knows how to take care of its passengers.
Good and abundant food on board. Good entertainment options. you can select your seats in advance for most ticket types.",International' 'Economy' 'New Delhi - San Francisco
CDG Airport lounge,5,I was flying on BA but used the oneworld Cathay lounge at CDG. This lounge out classes and BA lounge I have been to (perhaps The Concorde lounge beats it but that’s only for passengers travelling First. Lots of space and meticulously keen and an awesome noodle bar,Europe' 'Business Class' 'Paris - London
"Good flights, Non-flight customer service weak",4,"As a regular Cathay flier, my review is for overall experience, not one off. I am generally loyal to Cathay as their flight record is strong and their in flight service is good. However, they consistently lack good customer service out of the air. Their website and app are continuously down (not to mention the latest data breach) and when...",Southeast Asia' 'Business Class' 'Hong Kong - Ho Chi Minh City
Good service,4,As always the Cathay staff are fantastic with customer service and look after you so well. The food on this flight was not very good. My meal was not nice and I was not offered any alternative although the cabin was mostly empty and there must have been spares.,Asia' 'Business Class' 'Seoul - Hong Kong
Absolutely wonderful service.,5,Cathay is without a doubt the best international airline. When travelling with a child who took extremely ill just minutes before boarding the cabin staff could not do enough to provide care and attention. Arranged seating so he could lay stretched out.,International' 'Economy' 'Chicago - Sydney
Unable to check in online,3,This was the first time I had flown with Cathay Pacific and I was not terribly impressed - given the good reputation I thought they had. The flight was fine - the seats were spacious and comfortable but my problem was that I was unable to check in online. I went to check in as soon as check-in opened as...,International' 'Premium Economy' 'London - Hong Kong
Serive in aircraft,4,Service on aircraft was good. Travelling with kids on cathey pacific is the right choice. Thanks to crew member of cathay pacific,International' 'Economy' 'Hong Kong - New York City
Recent trip,5,Definitely defining the trend in travel. Airplane food that has taste. Comfortable seats that make a long flight survivable. Enough in flight entertainment to distract you. Thank you to the people of Cathay for making a long trip easier.,International' 'Economy' 'Cape Town Central - Denpasar
Flight 438 HKG-ICN,5,Transfer from initialBNE HKG flight with change over of 1hr 1 minutes. Longish walk with bag check and hoarding pass and passport check...no issues....arrived at appointed new gate with time for coffee and toilet. Clean the teeth break. Got onto plane. Placed bags above. And had quick meal and enjoyed the view. Newish plane. No issues with flight and baggage...,North Asia' 'Economy' 'Hong Kong - Seoul
Brisbane to Hong Kong Cathay Pacific,5,4 am flight. Booked thru travel agency and arrived at airport three hours prior and registered all our baggage initially. With baggage tags being stuck onto our baggage. Then when gates were open three hours prior to flight we had bags weighed and inserted thru X-ray machines. Went thru customs and waited for boarding. Getting onto plane the economy queue...,International' 'Economy' 'Brisbane - Hong Kong
Courteous on Cathay,5,"This flight was one of the best international flights we have experienced, this the third of our four long haul flights on this holiday, (and we have flown a few, quite a few). The Premium Economy seats were good, the service was excellent, the food was very good, (especially the Gluten Free options served to my partner - she says...",International' 'Premium Economy' 'Los Angeles - Hong Kong
comfortable trip,4,"Staff were efficient and helpful. Smiling.
Cabin is clean. Food is good. On time flights. Ample amenities.",International' 'Premium Economy' 'Cebu Island - Newark
Good but delays are a pain,3,The flight on 22/9 was delayed by one hour which meant we missed our connecting flight in Hong Kong and connecting trains in London. Cathay notified us of the delay to the first flight but I had to follow up regarding the connecting flight from Hong Kong as they had not realised we would not make the connection. They did...,International' 'Premium Economy' 'Perth - Hong Kong
A basic Economy flight,4,"this flight was good - from the fact that we left very late at night,so was able to have some sleep overnight, and be reasonably refreshed for the next leg onwards to Beijing.
Both my wife and I pick late night flights - so we can also have an extra days sightseeing, before leaving on the homeward journey.",International' 'Economy' 'Melbourne - Hong Kong
Good satisfactory flight,4,"The flight was long. But, I made sure I had an aisle seat so that I could occasionally stand up and walk around a bit. The meals were so so, the crew was efficient, entertainment is usual. Nothing to complain but nothing stands out either. Seats were okay. If you want to get snacks or bowl of instant noodles they...",International' 'Economy' 'Los Angeles - Hong Kong
LONG FLIGHT TO THE ORIENT,5,"The service is FABULOUS. The flight attendants are constantly at your beck & call.
The food is great, and the whole experience was just much better then other airlines.",International' 'Business Class' 'Toronto - Hong Kong
AS expected,3,"Full plane, CX service steadily deteriorating and this flight no different. Cabin crew not really interested in passengers",International' 'Economy' 'London - Hong Kong
As expected,3,"Two empty seats next to me so mostly slept. On time arrival and departure. Ordered special meal, non veg HIndu so nice curry",International' 'Economy' 'Hong Kong - London
Could not fault the flight,5,"This was the first time we have gone business class and with 3 hours door to door – Norfolk to Melbourne it was worth it. The staff were helpful friendly and polite. The lounges provide everything – food, drink, showers, beds, computer spaces and comfortable chairs so the time just melts away. The flight was on time, toilets refreshed after...",International' 'Business Class' 'London - Melbourne
Disappointing,2,"For flights to Europe we have always utilised CX..we found their Premium Econ class very, very good value, very comfortable & just provided everything we required for a long journey. However this year we found a very marked difference & it wasn’t good. Syd/HKG sector, the crew couldn’t wait to get the meal served - we had to request a...",International' 'Premium Economy' 'Sydney - Barcelona
"Dreadful Seat, but good service from a maiily Japanese crew.",3,"The seats on this flight were the most uncomfortable of any airline I have ever flown, in over 45 years of flying. Really hard seat, no comfort, impossible to relax or try to doze.
The Japanese flight attendants in our cabin were very sweet. Selection of English language movies was poor. I'm glad we wont be taking this flight ever...",Asia' 'Economy' 'Sapporo - Hong Kong
Check in at HK Station makes it easy.,4,"We checked our bags at the Hong Kong Train Station, so that made the trip to the airport much easier. Comfortable seat and reasonable service on the flight. Flight left late but arrived on time. Luggage came out in reasonable time, which is more a Melbourne Airport issue rather than a Cathay service situation. Overall a pleasant flight with enough...",International' 'Economy' 'Hong Kong - Melbourne
Great flight,5,Really enjoyed this flight. Service that you could not fault. Food was wonderful as well. Highly recommend this airline. Will definitely be flying Cathay again.,International' 'Economy' 'Sydney - Hong Kong
Very good,4,"We were very happy with the flight on the whole. Good service, comfortable seats and nice food.
There wasn’t a huge choice English movies that interested me, but I guess that’s inevitable on an Asian airline.
We found the business lounge at the airport a bit underwhelming and quite small.
We didn’t receive the standard bottle of water on the...",International' 'Business Class' 'Sydney - Tokyo
...How are the Mighty Fallen!,3,"We looked forward to flying Cathay Pacific. For years the name Cathay was a symbol for the best airline. I can not explain why but the service on this flight was exceptional out of line. There were enough crew members (in my unprofessional eye) but it was not working, food was borderline, a preordered vegetarian meal never found and it...",International' 'Business Class' 'Hong Kong - Tel Aviv
A little disappointed,3,"First leg of 4 business class flights to London and return.
Flight due to leave around 12.3am. Unfortunately delayed an hour, no problem we were on holidays and had time to spare.
When we eventually boarded and settled into our seat it all felt so rushed. The crew hurried around, rushing through a half completed meal service. Minimal offer of...",International' 'Business Class' 'Brisbane - Hong Kong
Flight was delay from Tokyo and missed my connection flight.,3,"The food quality have dropped recently. My flight from Kuala Lumpur to HK, flight departed late due to technical issue. My return flight from Tokyo to HK was delayed and after boarding the flight took off much later because of traffic on the runway. As the result I missed my connection flight to Kuala Lumpur. I was rescheduled for a...",North Asia' 'Economy' 'Kuala Lumpur - Tokyo
best option for the route,4,"pleasant overall. the pier lounge in hk was ok. service onboard was very good, but the food served was often a disappointment. aircraft used and seat plan were excellent. 1-2-1 is the best in class.",Southeast Asia' 'Business Class' 'Hong Kong - Jakarta
Thank You Cathay Pacific,5,"I recently booked flights with Cathay Pacific for my parents and mother-in-law to visit us in Australia to spend time with their grandchildren and two newly born great-grandsons. I rang Cathay and explained they were three people in their 8s and after a call that lasted about 1-15 minutes they had organised seats together for the three of them, with...",International' 'Economy' 'London - Melbourne
Flights in new A35,4,Nice new plane with reasonable legroom but usual very narrow seats. Staff were great but formal and not super friendly but friendly enough. Meals were very good and I was surprised. Ice cream was top class.,International' 'Economy' 'Auckland - Hong Kong
It was a nice experience but it could have been better.,3,The trip was nice but it could have been better if the flight attendants were as welcoming enough. My overall flight was bland. It's nice because I got a whole row for myself going to Hong Kong. The inflight internet also was such a treat although I have to pay almost Php 5 ($9).,Asia' 'Economy' 'Manila - Hong Kong
Sadly lacking quality of Service,3,"I am not sure whether it was the language difference or what but the cabin staff lacked the quality and experience of other airlines. This was a night flight departing at 1:, which was also delayed by 1 hour. The service was rushed, no bar trolly service before the meal was served, all a bit rushed. I ordered a drink...",International' 'Economy' 'Hong Kong - Dublin
Ok,3,"Checking in was easy and pleasant. The meals were ordinary.
Seats were ok.
Service was just adequate, did the bare minimum..
Overall, will fly Singapore next time, as i feel they are a better airline.",International' 'Premium Economy' 'Melbourne - Hong Kong
Average,2,"Had good service checking in, on the plane though the service was pretty ordinary. I know i was flying economy but expected better.
The seats are tiny. They have reconfigured there economy section to get more seats onboard, and made there economy seats smaller. Luckily the seat next to me was free.
Will never fly economy with them again.",International' 'Economy' 'Hong Kong - London
Cathay Pacific aircraft urgently in need of refurbishment,3,This particular aircraft was in very poor condition. I was in seat 12A. The fabric on areas of the seat was frayed. The condition of the furnishing was really poor. This aircraft should be pulled from service and be totally refurbished.,International' 'Business Class' 'Copenhagen - Hong Kong
Quality Airline,4,"Very reliable airline. Very well organized, friendly staff. In-flight entertainment should be up-dated more frequently. Food is average. Had expected drinks before landing in HongKong form Colombo but nothing was served.",Asia' 'Economy' 'Hong Kong - Colombo
Quality Airline Cathay Pacific,4,Premium economy is the most important reason we fly with CP. Other airlines do not have this service. They often offer some more space for the legs but this is in between that and business class. At least it is worth the money. This flight was well organized (as ever). Very friendly staff and quality. Only the in-flight entertainment should...,International' 'Premium Economy' 'Amsterdam - Hong Kong
Good flight but older A33 plane shows age,4,"I took the 11:5 am flight on Cathay Pacific from Bangkok to Hong Kong. I arrived at the airport about 2 1/2 hours before as I wanted to claim VAT refund. One point to note if you are claiming VAT refund is that while Cathay check-in is at Section M/N, you should asked to be dropped off at the far...",Asia' 'Business Class' 'Bangkok - Hong Kong
Great flight for Aussies,5,"Nice quiet flight, plenty of eats and drinks. Good entertainment selection of Movies
and music. Seat belts even had airbags attached to them. Loved the icecreams and
chockies. Had to change planes at Hong Kong. then 8 hours to Perth. Luggage
went through fromTokyo. Have flown mnay times with Cathay - they never disappoint
very attentive cabin staff.",International' 'Economy' 'Tokyo - Perth
Taking to the Skies,5,"Amazing airline and friendly staff, the food was very good and the entertainment was up to date. The space in premium economy was sufficient and the staff was very considerate. The blankets and pillows were very soft and comfortable and the storage space for cabin luggage was so huge.
Will definitely use them again as they are top of the...",International' 'Premium Economy' 'Cape Town Central - Phuket
Cathay pacific,4,"I dont usually fly long haul with Cathay, but my latest trip was truly worth it. The seat is lazy boy like, the section is very quiet( no crying babies during my trip), the comfort room is kept clean most of the time. The staff very polite and has soft speaking voice.The food needs some improvement( tho i asked for...",International' 'Premium Economy' 'Manila - Boston
Fantastic Flight Experienced,5,"The flight was amazing,there was no drama and everything was in order.The food was served hot.My second time flying with Cathay Pacific I can't complained.But the one in Melbourne to HK and Hk to Cebu was a disaster because my luggage was broken,but the Cathay staff in the Cebu Airport reached out for me and gave a compensation about $5....",International' 'Economy' 'Hong Kong - Melbourne
Don’t trust them with a honeymoon travel,2,"I would like to make all potential Cathay Pacific customers aware of the embarrassing and rude customer service my husband and I just received from a Cathay Pacific Customer Service Representative at the Hong Kong airport.
We are on our way back from our honeymoon which original route was from USA to Hong Kong to Bangkok. The inflight experience is...",International' 'Premium Economy' 'Orlando - Bangkok
Comfort in the air,5,"This was a delightful flight. Plenty of leg room in the economy seats, and I was travelling with tall men (6'3""). The staff from check in, onboard and departure were all very efficient, friendly and relaxed. The on board food was very tasty and plentiful. I would definitely recommend flying International with Cathay Pacific.",International' 'Economy' 'Melbourne - Hong Kong
Cathay Pacific is the real business,5,"The service, comfort, food and wine were so good that my wife and I both had the same thought: ""Wish this was a much longer flight!"" Full marks to Cathay Pacific for providing such an excellent service to business users.",Asia' 'Business Class' 'Bangkok - Hong Kong
Great,4,The experience on this flight was good. The flight was a little bit late leaving but it was because of loading delays. The seats were comfortable down towards the rear of the plane. The meals were okay. The cabin crew were helpful and polite,International' 'Economy' 'Auckland - Hong Kong
Great Airline,5,My first time travelling experience with Cathay Pacific was great. The flight attendants were very caring and dedicated. Counter agents were pleasant. Customer service overall was excellent.,Asia' 'Economy' 'Bangkok - Hong Kong
Excellent,5,Following the use of the excellent lounges at Hong Kong an efficient flight with good service and quality meal. Whilst short flight aircraft had lay flat seats with ample room. Good selection of films,Southeast Asia' 'Business Class' 'Hong Kong - Manila
Always a good service,5,"I’m flying often from Beijing to Hong Kong and submit their online survey. I finally write on TA. Except my first flight from HK to France back to several years ago, I’m always happy with their service. They take good care of their customers and make sure they have everything they need. Today (31/1/18), Cecilia and Cindy were in charge...",North Asia' 'Economy' 'Hong Kong - Beijing
Quality and Service with a Smile,5,"Endured another long flight between San Francisco and the Far East - to and from Hong Kong
Cathay Pacific came through with flying colors. Service was excellent, food was great, snacks were great, and in-flight entertainment was also great. Never felt the twelve hour flight, in either direction.
Unlike our last trip to Dubai via E______, the bathrooms on Cathay...",International' 'Economy' 'San Francisco - Taipei
Hard to be on time,3,"I often try different air line when there were different choices for the same destination. But for HKG to RGN it is sad to say there isn't much choice to make.
Cathay pacific is a good air line but when come to be on time for this rout there were way far behind the average.
In over three years of...",Southeast Asia' 'Economy' 'Hong Kong - Yangon (Rangoon)
"Speedy, Efficient.",5,"Two hours flight.
Hot meal, drink.
Comfortable, quick, efficient, friendly service. Professional.
Previous: Silk Air. Now: Cathay Dragon.
Parent: Cathay Pacific.",Southeast Asia' 'Economy' 'Hong Kong - Phnom Penh
Pleasantly surprised,4,"I usually only fly Singapore Airlines, I had the misfortune of flying Qantas internationally. Never again. I was apprehensive about flying Cathay. But I really can’t fault the service. It wasn’t Singapore but it was still miles ahead of Qantas. The flight attendants were attentive and the food was reasonable. I’m tall (5.7) and found the leg room ok.",International' 'Economy' 'Melbourne - Hong Kong
Premium economy worth the extra,4,"We chose Cathy Pacific as we could easily arrange a suitable stop over on the way to Europe.
The return flight to Australia from Hong Kong was on one of their older B-777, but surprisingly we had more leg room than the other 3 legs. This could be because it was a smaller Premium Economy cabin.
Service was brisk and...",International' 'Premium Economy' 'Hong Kong - Melbourne
Nice surprise,4,Yeah this was a nice surprise it was the first time on this carrier and it was great the leg room was great and this was the main reason for me as I am 6ft with long legs and thay didn’t rub on the seat in front plus the food was good and the staff were very helpful,International' 'Economy' 'Brisbane - Tel Aviv
"Its hard to be excited about a 14 hour flight, but it was a decent jaunt",3,"This flight had decent meals, all the staff worked hard to ensure the huge flight of people had everything they needed. Movies, blankets, food/drink anytime you wanted. But as you know, everything on all the airlines are getting smaller and smaller. Seats, room between seats. Not much you can do about it short of shelling out $$ for business or...",International' 'Economy' 'San Francisco - Hong Kong
"As always, first class airline",5,"Traveled with a 7 year old and 7 month old on a 12 hour flight + another 3.5 hours after, we manged to have the bulkhead seats so we had plenty of room. As usual the flight attendants were very helpful and made the flight as painless as possible. Always like Cathay, especially now they have gotten rid of those...",International' 'Economy' 'London - Cebu Island
Pleasant flight,4,"This was the first time in Premium Economy and worth every dollar in relation to having just that little bit more leg room and recline space for the long flight, as well as nice touches such as the separate line for boardning. Service was attentive and friendly. What felt like the only slight drawbacks was that the meal service was...",International' 'Premium Economy' 'Hong Kong - Rome
High Service all the way,5,"i always choose Cathay Pacific when it comes to most of my flights, more so for ultra long haul. I get the perks of being their top tier frequent flier (Diamond member) from the check in experience to the first class lounge access in both Hong Kong and LAX - helps me alleviate the tediousness of a long flight. The...",International' 'Premium Economy' 'Hong Kong - Salt Lake City
Doesn't live up to its reputation,3,"The late night departure from HK was on time and the flight was full. The cabin crew as usual were well groomed and were pleasant and courteous. However, most individuals do not seem as though they enjoy what they do nor do they show their pesonality. They do the job almost like automatons. They want to get the service over...",International' 'Economy' 'Hong Kong - Sydney
Have to increase seat pitch on longer flights,3,"Cathay does a lot of things well. Aircraft are top notch, the flight attendants are super hard working and efficient (not all that friendly but not unfriendly). This flight the food was better than last year. Not sure why but I actually ate something on board this time. Typically CX flights are on time or minor delays - this flight...",International' 'Economy' 'San Francisco - Hong Kong
smallest site ever,3,"haven't flew with cathay pacific for a long long time i dont think i want to in the future, not much leg room , very small site ,i was so surprice when i push my site back the passenger told me i had my back of my chair on his knee ,so i had to pop my site up for...",International' 'Economy' 'London - Hong Kong
on-time and very good,4,Flew this sector last week and found this to be a popular route for this time of day. It was a full flight. The CX standard is always high and it is maintained on this sector.,North Asia' 'Economy' 'Hong Kong - Seoul
Pure luxury with Cathay Pacific,5,"My husband and I recently celebrated our 4th Wedding Anniversary, and treated ourselves to the “holiday of a lifetime” to Hong Kong, Australia and New Zealand. As an extra treat, we travelled Business Class which was just fabulous. We flew with Cathay Pacific and were treated like absolute royalty. Every member of the cabin crew were so attentive, efficient, friendly...",International' 'Business Class' 'Manchester - Hong Kong
Great Airline,4,"I had a connecting flight - Hong Kong International Airport - Wow - absolutely beautiful. My flight with Cathay Pacific From Hong Kong to Thailand was great. Flight wasn't very full. Great service once again. Flight was on time.
Thank you.
I really enjoyed my flight.",Southeast Asia' 'Economy' 'Hong Kong - Bangkok
Happy traveler,4,"This was my first time flying with a different airline than Qatar Airways. I was worried due to some of the reviews I have read. Worried - All for nothing. I really enjoyed my flight. I felt comfortable and relaxed. The flight was full. Staff were friendly, kind and great service. We even got an ice cream for dessert. Seats...",International' 'Economy' 'Johannesburg - Bangkok
Great airline excellent staff,5,Went from Heathrow to Hong Kong then on to Singapore and back excellent service great space for a 12 hour flight transfer seamless...food good ...staff very friendly ..second time with Cathay Pacific excellent,International' 'Premium Economy' 'London - Hong Kong
They changed the seats to have less spaces!,2,"They changed the seats setting to cater more seats but the passengers have less spaces! The food is in smaller portions and no taste! They didn‘t even follow the menu that they gave out. Passengers will go with other airlines, at lease I will.",Asia' 'Economy' 'Hong Kong - Denpasar
The food and seats do need to improve,4,"With the increasing competitions, Cathy Pacific still haven‘t made a change! The seat are still very cram and the food is getting worse! The entertainment system are very old movies and TV series. If Cathy Pacific still don’t make any changes, they will continue loosing customers to the other competitors. Couple of my friends already changed to EVA Airlines and...",International' 'Premium Economy' 'Toronto - Hong Kong
Getting an upgraded seat,4,"For this flight, i was lucky to get a better class. They changed my seat from economy to business class. On business class, the crew is very friendly and attentioned about you desire. The meal is also better.",Southeast Asia' 'Business Class' 'Hong Kong - Cebu Island
Pleasant flght,4,"Flew Perth to Shanghai via Hong Kong. We nearly had to run for the joining flight going and three hour wait coming back. Flight was good, in-house movies tends to keep me occupied so time goes reasonably quickly. Food was ok and service good. At the special I found I would highly recommend.",International' 'Economy' 'Perth - Shanghai
Midnight flight,4,Have not taken a “Red Eye” flight in quite some time but this flight was great. I slept almost 8 hours of the flight. Service was great and meals very tasteful.,International' 'Premium Economy' 'San Francisco - Hong Kong
Cathay Pacific flight,4,Staff were friendly and catered to our needs. Meals were served hot and if there was a wait they were apologetic.,International' 'Economy' 'Hong Kong - Melbourne
Long Haul,4,"Flew in two legs from LHR to Hong Kong and then on to Tokyo. Staff pleasant and attentive on both flights - food surprisingly good.
Flight very full to Hong Kong with no available spare seats. As a couple we were split up and unable to sit together as nothing available - a nice chap moved seats for us.",International' 'Economy' 'London - Tokyo
flying home,5,This was a super long flight but I am grateful that it went smoothly. The staff were amazing and the pilot flew very well keeping us updated along the way where need be,International' 'Economy' 'Hong Kong - Johannesburg
Cathay Pacific,5,"Good food, good service, stable flight, comfortable enough for a single-digit hour flight and safe too",North Asia' 'Economy' 'Singapore - Seoul
Consistently high attentive and efficient service,5,I flew on Cathay from JFK to HKG where I changed to a Cathay Dragon flight to CCU. The entire experience was sublime. On time departure from JFK in a 777-3 ER aircraft with a 1-2-1 herring bone seating layout affording considerable privacy. Cathay Pacific uses Terminal 8 at JFK along with other One World Airlines. This is among the...,International' 'Business Class' 'New York City - Kolkata (Calcutta)
Best trip ever!?,5,I am recent breast cancer on remission celebrating the 2nd life God has given me.?My dearest daughter had surprised me with a needed vacation after what i had been through for the past years. She sponsored my flight and she had chosen the best airline for me. Cathay Pacific has the best hospitable flight attendants. They would make you feel...,Asia' 'Economy' 'Manila - Hong Kong
Reliable enough airline,4,"The airline crew for the NY flight were exceptionally professional, compared to the crew in shorthaul flights. They were attentive, very helpful (especially since I flew alone with my toddler daughter) and fast and efficient in their service.
I cannot say the same for flights to Manila, or Singapore, or Vietnam, which we recently had as well. Although I do...",International' 'Economy' 'Hong Kong - New York City
CUSTOMER SERVICE MATTERS,2,"I got to the airport almost 4 hours before my flight and unfortunatly I found mr. Anderson Lee at the check in counter: he told me that Cathay had made overbooking and I had to fly Economic (from premium economy). It was not just the bad news: it was the lack of education, no professional behaviour, no help offered (...",International' 'Premium Economy' 'Hong Kong - Milan
