岗位,职业,公司简介
广电实验室助理拆剪员实习生急招,客服,广州华路卓网络技术有限公司公司简介\n\n    广州华路卓网络技术有限公司致力于中小企业网络营销外包，华路卓拥有专业的网络营销外包团队，提供全面的基于互联网的网络营销外包解决方案；协助中小企业实现企业网络营销业务的完全转变；首家提供网络营销外包，按外包销售额提成的网络营销公司。\n\n    广州华路卓网络技术有限公司是一家专业的网络营销外包公司。提供的服务包含网络营销外包、营销型网站建设，网络营销策划、制作、网络营销代运营等。为客户提供全方位的一站式网络营销外包服务。
LG摇控器月入6000元打包分拣员,临时工,给兼职提供优质的工作！
龙洞天猫淘宝店话务员兼职日结,客服,[]
车展天天1日结,服务员,迎天商务服务有限公司，从事五星级酒店人力输送，真实靠谱兼职(全职)可添加本微信咨询报名:13189055363或13659708977
马上要人 16块 谭村地铁站,服务员,广州众携力公司成立于2012年，5年来一直致力于五星级酒店，房地产公司劳务派遣合作，现合作酒店有白云国际会议中心，白天鹅宾馆，东方宾馆，香格里拉大酒店，圣丰索菲特酒店，W酒店等20余家知名五星级，四星级酒店。公司具有完善的招聘，培训系统。
马上要人 15块 琶洲地铁站日结,服务员,广州众携力公司成立于2012年，5年来一直致力于五星级酒店，房地产公司劳务派遣合作，现合作酒店有白云国际会议中心，白天鹅宾馆，东方宾馆，香格里拉大酒店，圣丰索菲特酒店，W酒店等20余家知名五星级，四星级酒店。公司具有完善的招聘，培训系统。
15元时20号珠江新城餐厅服日结兼职,服务员,多年的劳务派遣服务经验，现承接各大酒店、公司、工厂、楼盘派单、各类外卖酒会、物流快递、会议充场等一切兼职、人事代理、劳务派遣！专业为各大企业解决人力用工难题！\n如需洽谈请致电张生：18898530690（微信同号）
喜达屋酒店英语客服,客服,隆信信息科技有限公司成立于2006年，一直以来为企业提供专业的人力资源服务，现隆信人力机构发展为是由、广州隆信职业培训学校（从化、汕尾等校区等实体组成的一体化人力资源服务供应商的品牌机构。
游戏制作师,其他,星飞（全称：浙江星飞信息技术有限公司），云集游戏圈众多大神；创立于2017年，坐标广州天河区、杭州滨江区、厦门思明区，致力于打造研运一体的新锐游戏企业。
儿童乐园营业员,临时工,从事供应链管理，渠道商搭建，资源自动匹配，数据采集，人员招聘工作
室内亲子游乐园兼职,临时工,从事供应链管理，渠道商搭建，资源自动匹配，数据采集，人员招聘工作
室内儿童乐园安保员,安保,从事供应链管理，渠道商搭建，资源自动匹配，数据采集，人员招聘工作
同德围招150一天促销人员,临时工,客服，销售，日结，月结，周结都有。
婚宴天天1日结,服务员,迎天商务服务有限公司，从事五星级酒店人力输送，真实靠谱兼职(全职)可添加本微信咨询报名:13189055363或13659708977
手机壳包装轻松好工作一天200,其他,劳务派遣服务;软件批发;信息技术咨询服务;网络信息技术推广服务;酒店管理;企业形象策划服务;教育咨询服务;文化艺术咨询服务;仓储咨询服务;人力资源外包;劳务承揽;接受委托从事劳务外包服务;装卸搬运;打包、装卸、运输全套服务代理;
20号日结协助员,临时工,投资管理服务;企业管理咨询服务;企业管理服务（涉及许可经营项目的除外）;投资咨询服务;市场营销策划服务;企业形象策划服务;策划创意服务;商品信息咨询服务;企业财务咨询服务;贸易咨询服务;公司礼仪服务;个人形象设计服务;文化艺术咨询服务;大型活动组织策划服务（大型活动指晚会、运动会、庆典、艺术和模特大赛、艺术节、电影节及公益演出、展览等，需专项审批的活动应在取得审批后方可经营）;商品批发贸易（许可审批类商品除外）;商品零售贸易（许可审批类商品除外）;会议及展览服务
广告监测员长期兼职,其他,赛立信媒介研究
16元每小时派对宴会兼职,其他,[]
100/天今晚超市盘点兼职,其他,[]
11月19号四季酒店通宵班兼职15块每时,服务员,公司从事广州五星级酒店宴会餐饮人力输送，每天输送100-300人左右
招长期服务员1至3个月,服务员,提供最新兼职信息
富力海珠城UR服装导购招聘长期兼职,临时工,广州九尾（Joiway）信息科技有限公司是一家致力于将移动应用开发、 高校渠道资源和信息咨询服务 于一体，充满朝气的科技综合型企业。公司与国内外众多知名品牌企业建立了良好，稳固的合作伙伴关系， 逐步形成强大的人才，技术和品牌优势。公司成立以来，以厚积薄发的精神带动企业运营稳步上升，秉承 着为客户创造利益，为员工创造机会，为社会创造价值的企业价值观，团结奋进，亦是90后创业企业的典型代表。
19号日结协助帮工,临时工,投资管理服务;企业管理咨询服务;企业管理服务（涉及许可经营项目的除外）;投资咨询服务;市场营销策划服务;企业形象策划服务;策划创意服务;商品信息咨询服务;企业财务咨询服务;贸易咨询服务;公司礼仪服务;个人形象设计服务;文化艺术咨询服务;大型活动组织策划服务（大型活动指晚会、运动会、庆典、艺术和模特大赛、艺术节、电影节及公益演出、展览等，需专项审批的活动应在取得审批后方可经营）;商品批发贸易（许可审批类商品除外）;商品零售贸易（许可审批类商品除外）;会议及展览服务
16元一小时今天酒店宴会兼职,其他,\u3000专注于粤地五星级酒店人力资源派遣业务。齐帮盟专注于粤地五星级酒店人力资源派遣业务。\u3000\u3000目前主要业务包括：餐饮部、客房部、管事部、PA、保安部。齐帮盟经过四年的努力，\u3000\u3000我们建立了一支以服务、激情、沟通、诚信为服务理念的人\u3000\u3000力资源团队，配合卓越的供应链管理的方式及高效完善的系\u3000\u3000统，为粤地国际品牌酒店提供高品质的人力资源与服务保障。\u3000\u3000齐帮盟-专注酒店人力。
工时高220天无需经验,临时工,广州顶集企业管理有限公司
长期日结兼职110元/天,其他,[]
包吃住无需经验月薪6200,临时工,广州顶集企业管理有限公司
白云龙塘路化妆品130元/天,临时工,陶瓷、玻璃器皿批发;玻璃钢材料批发;玻璃钢制品批发;陶瓷、玻璃器皿零售;装修用玻璃零售;玻璃钢材料零售;玻璃钢制品零售;商品批发贸易(许可审批类商品除外);商品零售贸易(许可审批类商品除外);商品信息咨询服务;进出口商品检验鉴定;货物进出口(专营专控商品除外);室内装饰、设计;广告业;电子设备工程安装服务;智能化安装工程服务;技术进出口;信息技术咨询服务;
嘉禾日结服务员,服务员,[]
招天河海珠发单兼职,派单,承包广州各区兼职，发传单，举牌，充场，临时工，安保，钟点工，跑腿工，等等各种兼职可以安排。有意者加微信详谈，773099203。
运营助理专员,实习,太度信息科技有限公司成立于2015年，是一家专注于商贸业务管理和协作平台开发的创新型互联网科技企业。“服务中小企业，用创新的软件平台增强业务管理和企业之间的联通”是太度的企业宗旨。太度开发的智目录软件平台，采用全新的互联网软件架构和简单易用的 操作界面，解决企业日常遇到的：产品管理、订单业务管理、工作协同、产品展示、供应链上下游沟通等问题。目前软件已获得全球超过7000家企业的认可，涵 盖机械、电子、五金、服装、玩具、礼品、家具等多个行业。
包餐   江泰路物流分拣打包,临时工,\u3000   广州隆钦企业管理有限公司，注册2014年专注做企业管理咨询、企业管理培训、企业人才引进、企业人才培训、企业品牌策划、会展会务的的服务公司；\n      公司成立以来为众多企业、政府机构提供了强有力的支持，并依托多年企业内训、人才引进、会务会展、活动礼仪行业服务经验，努力打造自身专业品牌；
招在校学生招聘助理,临时工,给兼职一份好兼职工作。
3号线地铁广州塔附近餐厅服务员140一天,服务员,人力外包服务，不收任何费用
16块 越秀公园地铁站,服务员,广州众携力公司成立于2012年，5年来一直致力于五星级酒店，房地产公司劳务派遣合作，现合作酒店有白云国际会议中心，白天鹅宾馆，东方宾馆，香格里拉大酒店，圣丰索菲特酒店，W酒店等20余家知名五星级，四星级酒店。公司具有完善的招聘，培训系统。
轻松坐班保底工资4800,临时工,广州顶集企业管理有限公司
洗护用品免体检包吃住,临时工,[]
化妆品13/小时包吃住白班,临时工,[]
保底4800月大夫山礼品厂,临时工,广州凡弧企业管理有限公司是（广州美凡人力资源服务有限公司）的分公司，成立于2017年，位于广州番禺钟村。公司主要从事劳务派遣、劳务外包、人才测评与培训、人力资源开发与管理、网络技术等服务。 公司自成立之初，就本着“诚信为本，求实创新”的经营理念，在各级领导的关心指导下，在全体员工的共同努力下，全心全意，脚踏实地的为省内外上百家大中型企业输送各类人才数万人之多，深得用工单位和广大就业者的好评，成为劳务派遣行业的一面旗帜。业务覆盖整个珠江三角地区，与很多大型企业结为战略性合作伙伴，实现了共同发展，互利双赢。同时，也为广大求职者，特别是高校毕业生提供求职平台和就业指导，实现了个性服务、人尽其才。 与时俱进、继往开来，今后，我们将秉承“以人为本，诚信至上，完善服务，创新服务”的经营宗旨，以全新的思维、不懈的努力、更加专业的服务，为社会各界提供全方位的高效服务！为广州建设做出更大的贡献。
广州广东电视台,销售,广州凡弧企业管理有限公司是（广州美凡人力资源服务有限公司）的分公司，成立于2017年，位于广州番禺钟村。公司主要从事劳务派遣、劳务外包、人才测评与培训、人力资源开发与管理、网络技术等服务。 公司自成立之初，就本着“诚信为本，求实创新”的经营理念，在各级领导的关心指导下，在全体员工的共同努力下，全心全意，脚踏实地的为省内外上百家大中型企业输送各类人才数万人之多，深得用工单位和广大就业者的好评，成为劳务派遣行业的一面旗帜。业务覆盖整个珠江三角地区，与很多大型企业结为战略性合作伙伴，实现了共同发展，互利双赢。同时，也为广大求职者，特别是高校毕业生提供求职平台和就业指导，实现了个性服务、人尽其才。 与时俱进、继往开来，今后，我们将秉承“以人为本，诚信至上，完善服务，创新服务”的经营宗旨，以全新的思维、不懈的努力、更加专业的服务，为社会各界提供全方位的高效服务！为广州建设做出更大的贡献。
万科安保/近200元每天/包住,安保,广佛深莞惠会展服务，人力外包（工厂/酒店/安保），活动策划各类演艺服务
5号线地铁猎德站附近餐厅服务员140一天,服务员,人力外包服务，不收任何费用
唯品会招短期小时工19元小时包吃住,促销,广佛深莞惠会展服务，人力外包（工厂/酒店/安保），活动策划各类演艺服务
育才玩具/19元每时包吃包住,促销,广佛深莞惠会展服务，人力外包（工厂/酒店/安保），活动策划各类演艺服务
招喜之郎临时工兼职/198一天,促销,广佛深莞惠会展服务，人力外包（工厂/酒店/安保），活动策划各类演艺服务
黄埔区政府机关单位招募资料整理员,实习,广佛深莞惠会展服务，人力外包（工厂/酒店/安保），活动策划各类演艺服务
白云政府机关单位资料招募资料整理员,实习,广佛深莞惠会展服务，人力外包（工厂/酒店/安保），活动策划各类演艺服务
广播电视台客服销售年薪18万,客服,服务咨询类企业公司
广东广播电视台均薪8000,销售,服务咨询类企业公司
地铁广州东站附近餐厅服务员多名150一天,服务员,人力外包服务，不收任何费用
今晚日结16元/时申通装卸货包餐,其他,致力于为学生提供最优质的兼职信息
小学六年级家教辅导,家教,[]
16元时广州塔摄影销售兼职,促销,科锐国际人力资源有限公司成立于1996年，在大中华地区拥有40个分支机构。超过1500名专业招聘顾问。是亚洲领先的整体招聘解决方案提供商。在过去的一年中，科锐国际成功为企业推荐的长期雇员及派遣雇员总数超过2万人，中高级管理人才及专业技术人才超过20000名。
卡拉宝促销员,促销,广州丰炫广告有限公司
日结130元白云货运兼职,临时工,陶瓷、玻璃器皿批发;玻璃钢材料批发;玻璃钢制品批发;陶瓷、玻璃器皿零售;装修用玻璃零售;玻璃钢材料零售;玻璃钢制品零售;商品批发贸易(许可审批类商品除外);商品零售贸易(许可审批类商品除外);商品信息咨询服务;进出口商品检验鉴定;货物进出口(专营专控商品除外);室内装饰、设计;广告业;电子设备工程安装服务;智能化安装工程服务;技术进出口;信息技术咨询服务;
工价真实216元/天广州邮政物流仓库,临时工,长期招收，长期工，临时工。暑假工，寒假工
19元小时广州天猫物流分拣扫描打包仓,临时工,长期招收，长期工，临时工。暑假工，寒假工
最高240元/天直招广州VIVO手机工厂,临时工,长期招收，长期工，临时工。暑假工，寒假工
最高220元/天广州黄埔蓝月亮包装工厂,临时工,长期招收，长期工，临时工。暑假工，寒假工
校对实习生,实习,晓教育是华南地区最大型的K12教育集团，总部设立在广州太古汇，立志成为受人尊敬的百年育人集团。\n\n     晓教育是一间教育科技公司，并用互联网思维来运营企业，一切以客户价值为依归，以科技和互联网来推动教育的进步。晓教育将积极吸引更多优秀的人才进入教育行业，研发教育产品和教育技术，始终以最优质的服务，帮助更多学子做到更好的自我，成为人生道路上的冠军；帮助更多人低价获得社会最优质的教育资源，实现“人生而教育平等”的目标。\n\n     晓教育旗下所属教育品牌包括星火教育、晓培优、晓直播、晓双师、晓物等。集团在全国开设分支机构，团队人数8000+，年辅导学生近100000，被评为“中国最具综合实力教育集团”、“中国领军品牌课外教育机构”。\n\n  感谢您的关注，祝您生活愉快！谢谢！
银行编制维护专员,销售,隆信信息科技有限公司成立于2006年，一直以来为企业提供专业的人力资源服务，现隆信人力机构发展为是由、广州隆信职业培训学校（从化、汕尾等校区等实体组成的一体化人力资源服务供应商的品牌机构。
日结白云石马兼职130元/天,临时工,陶瓷、玻璃器皿批发;玻璃钢材料批发;玻璃钢制品批发;陶瓷、玻璃器皿零售;装修用玻璃零售;玻璃钢材料零售;玻璃钢制品零售;商品批发贸易(许可审批类商品除外);商品零售贸易(许可审批类商品除外);商品信息咨询服务;进出口商品检验鉴定;货物进出口(专营专控商品除外);室内装饰、设计;广告业;电子设备工程安装服务;智能化安装工程服务;技术进出口;信息技术咨询服务;
200元包吃住客服专员,客服,劳务派遣服务;软件批发;信息技术咨询服务;网络信息技术推广服务;酒店管理;企业形象策划服务;教育咨询服务;文化艺术咨询服务;仓储咨询服务;人力资源外包;劳务承揽;接受委托从事劳务外包服务;装卸搬运;打包、装卸、运输全套服务代理;
200元服务员招聘,服务员,劳务派遣服务;软件批发;信息技术咨询服务;网络信息技术推广服务;酒店管理;企业形象策划服务;教育咨询服务;文化艺术咨询服务;仓储咨询服务;人力资源外包;劳务承揽;接受委托从事劳务外包服务;装卸搬运;打包、装卸、运输全套服务代理;
急聘15天一结3200元包吃住,临时工,劳务派遣服务;软件批发;信息技术咨询服务;网络信息技术推广服务;酒店管理;企业形象策划服务;教育咨询服务;文化艺术咨询服务;仓储咨询服务;人力资源外包;劳务承揽;接受委托从事劳务外包服务;装卸搬运;打包、装卸、运输全套服务代理;
华为手机组装240元一天包吃住,临时工,劳务派遣服务;软件批发;信息技术咨询服务;网络信息技术推广服务;酒店管理;企业形象策划服务;教育咨询服务;文化艺术咨询服务;仓储咨询服务;人力资源外包;劳务承揽;接受委托从事劳务外包服务;装卸搬运;打包、装卸、运输全套服务代理;
百果园水果打包260一天,临时工,劳务派遣服务;软件批发;信息技术咨询服务;网络信息技术推广服务;酒店管理;企业形象策划服务;教育咨询服务;文化艺术咨询服务;仓储咨询服务;人力资源外包;劳务承揽;接受委托从事劳务外包服务;装卸搬运;打包、装卸、运输全套服务代理;
半月结3000包吃住辞职结清,临时工,劳务派遣服务;软件批发;信息技术咨询服务;网络信息技术推广服务;酒店管理;企业形象策划服务;教育咨询服务;文化艺术咨询服务;仓储咨询服务;人力资源外包;劳务承揽;接受委托从事劳务外包服务;装卸搬运;打包、装卸、运输全套服务代理;
200块天果园水果打包分拣,临时工,劳务派遣服务;软件批发;信息技术咨询服务;网络信息技术推广服务;酒店管理;企业形象策划服务;教育咨询服务;文化艺术咨询服务;仓储咨询服务;人力资源外包;劳务承揽;接受委托从事劳务外包服务;装卸搬运;打包、装卸、运输全套服务代理;
急聘保安230元一天包吃住,临时工,劳务派遣服务;软件批发;信息技术咨询服务;网络信息技术推广服务;酒店管理;企业形象策划服务;教育咨询服务;文化艺术咨询服务;仓储咨询服务;人力资源外包;劳务承揽;接受委托从事劳务外包服务;装卸搬运;打包、装卸、运输全套服务代理;
日结白云永兴打包130元/天,临时工,陶瓷、玻璃器皿批发;玻璃钢材料批发;玻璃钢制品批发;陶瓷、玻璃器皿零售;装修用玻璃零售;玻璃钢材料零售;玻璃钢制品零售;商品批发贸易(许可审批类商品除外);商品零售贸易(许可审批类商品除外);商品信息咨询服务;进出口商品检验鉴定;货物进出口(专营专控商品除外);室内装饰、设计;广告业;电子设备工程安装服务;智能化安装工程服务;技术进出口;信息技术咨询服务;
16元一时日结19号白云宾馆服务员,服务员,[]
16元一时日结19号白云宾馆服务员,服务员,[]
海珠区日结服务员14元/时,服务员,广州市大型策划公司，承接各种校园策划和商业策划活动
可周末可长期兼职包,服务员,广州市大型策划公司，承接各种校园策划和商业策划活动
2018琶洲ICEE跨境电商展兼职,其他,[]
