ID,起点经度,起点维度,终点经度,终点维度,路段名,流畅指数,缓行指数,拥堵指数,未知指数,路况,路况描述
14,121.37,31.225,121.375,31.23,同普路：从泾阳路到真北路双向畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
15,121.39,31.26,121.395,31.265,中环路：军工路隧道附近内圈方向畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
16,121.42,31.185,121.425,31.19,内环高架路：从内环延安西路立交桥到鲁班路立交行驶缓慢；吴中路：从桂林路到中山西路行驶缓慢。,75.00%,25.00%,0.00%,0.00%,缓行,轻度拥堵
17,121.435,31.18,121.44,31.185,零陵路：上海体育场附近自东向西行驶缓慢。,69.23%,15.38%,7.69%,7.70%,缓行,轻度拥堵
18,121.435,31.29,121.44,31.295,中环路：南北高架入口附近外圈方向行驶缓慢，军工路隧道附近内圈方向畅通。,75.00%,25.00%,0.00%,0.00%,缓行,轻度拥堵
19,121.465,31.245,121.47,31.25,西藏北路：双向畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
20,121.505,31.29,121.51,31.295,国权路：自西向东畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
21,121.515,31.205,121.52,31.21,浦东南路：双向畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
22,121.515,31.29,121.52,31.295,国定路：自北向南畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
23,121.53,31.31,121.535,31.315,中原路：双向畅通。,83.33%,0.00%,0.00%,16.67%,缓行,轻度拥堵
24,121.355,31.185,121.36,31.19,外环高速：从徐浦大桥到外环隧道畅通，从北翟高架路出口到外环吴中路立交桥畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
25,121.375,31.195,121.38,31.2,虹桥路：从上海世贸商城到沪青平立交桥畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
26,121.39,31.2,121.395,31.205,水城路：水霞公园附近自北向南行驶缓慢。,85.71%,14.29%,0.00%,0.00%,缓行,轻度拥堵
27,121.4,31.205,121.405,31.21,仙霞路：仲盛大厦附近双向行驶缓慢。,71.43%,28.57%,0.00%,0.00%,缓行,轻度拥堵
28,121.405,31.235,121.41,31.24,兰溪路：从铜川路到曹杨路畅通。,87.50%,0.00%,0.00%,12.50%,缓行,轻度拥堵
29,121.41,31.21,121.415,31.215,内环高架路：内环延安西路立交桥附近内圈方向严重拥堵，从内环延安西路立交桥到鲁班路立交行驶缓慢；武夷路：国际体操中心附近自西向东行驶缓慢。,58.33%,25.00%,16.67%,0.00%,拥挤,中度拥堵
30,121.415,31.19,121.42,31.195,内环高架路：内环延安西路立交桥附近内圈方向严重拥堵，从内环延安西路立交桥到鲁班路立交行驶缓慢。,42.86%,42.86%,14.29%,0.01%,拥挤,中度拥堵
31,121.415,31.195,121.42,31.2,内环高架路：内环延安西路立交桥附近内圈方向严重拥堵，从内环延安西路立交桥到鲁班路立交行驶缓慢；凯旋路：天山公园南门附近自北向南严重拥堵。,57.14%,14.29%,28.57%,0.00%,拥挤,中度拥堵
32,121.43,31.25,121.435,31.255,内环高架路：恒丰北路立交桥附近外圈方向行驶缓慢。,87.50%,12.50%,0.00%,0.00%,缓行,轻度拥堵
33,121.43,31.255,121.435,31.26,光新路：双向畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
34,121.435,31.26,121.44,31.265,宜川路：双向畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
35,121.44,31.225,121.445,31.23,北京西路：金航大厦附近自西向东行驶缓慢；江宁路：中信泰富广场附近自北向南行驶缓慢。,85.00%,10.00%,5.00%,0.00%,缓行,轻度拥堵
36,121.44,31.26,121.445,31.265,沪太路：双向畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
37,121.445,31.23,121.45,31.235,江宁路：中信泰富广场附近自北向南行驶缓慢；新闸路：从石门二路到常德路行驶缓慢。,84.62%,15.38%,0.00%,0.00%,缓行,轻度拥堵
38,121.45,31.26,121.455,31.265,柳营路：双向畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
39,121.45,31.27,121.455,31.275,延长中路：市第十人民医院附近自西向东严重拥堵；南北高架路：从广中西路到天目中路立交桥行驶缓慢。,66.67%,16.67%,16.67%,0.01%,拥挤,中度拥堵
40,121.455,31.235,121.46,31.24,江宁路：中信泰富广场附近自北向南行驶缓慢；新闸路：从石门二路到常德路行驶缓慢。,85.71%,14.29%,0.00%,0.00%,缓行,轻度拥堵
41,121.46,31.235,121.465,31.24,南北高架路：从徐家汇路到天目中路立交桥严重拥堵，从天目中路立交桥到北京西路严重拥堵；新闸路：新金桥广场附近自西向东行驶缓慢。,66.67%,16.67%,16.67%,0.01%,拥挤,中度拥堵
42,121.46,31.24,121.465,31.245,南北高架路：从徐家汇路到天目中路立交桥严重拥堵，从天目中路立交桥到北京西路严重拥堵；梅园路：自南向北缓慢，反向畅通。,56.25%,25.00%,18.75%,0.00%,拥挤,中度拥堵
43,121.46,31.245,121.465,31.25,南北高架路：从徐家汇路到天目中路立交桥严重拥堵，从广中西路到天目中路立交桥行驶缓慢；秣陵路：从大统路到梅园路严重拥堵。,53.85%,30.77%,15.38%,0.00%,拥挤,中度拥堵
44,121.465,31.225,121.47,31.23,南北高架路：从徐家汇路到天目中路立交桥严重拥堵，从北京西路到徐家汇路行驶缓慢；武胜路：自东向西拥堵。,57.89%,10.53%,31.58%,0.00%,拥挤,中度拥堵
45,121.465,31.27,121.47,31.275,柳营路：双向畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
46,121.475,31.235,121.48,31.24,九江路：从宏伊国际广场到百联世茂国际广场行驶缓慢；湖北路：从浙江中路到福州路行驶缓慢；浙江中路：从南苏州路到福州路行驶缓慢。,66.67%,33.33%,0.00%,0.00%,缓行,轻度拥堵
47,121.475,31.275,121.48,31.28,内环高架路：逸仙高架路出口附近外圈方向严重拥堵。,90.00%,0.00%,10.00%,0.00%,缓行,轻度拥堵
48,121.475,31.28,121.48,31.285,水电路：双向畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
49,121.48,31.235,121.485,31.24,汉口路：自西向东缓慢；九江路：从宏伊国际广场到百联世茂国际广场行驶缓慢；南京东路：自西向东畅通，反向缓慢。,75.00%,25.00%,0.00%,0.00%,缓行,轻度拥堵
50,121.505,31.3,121.51,31.305,国定路：自北向南畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
