ID,起点经度,起点维度,终点经度,终点维度,路段名,流畅指数,缓行指数,拥堵指数,未知指数,路况,路况描述
19,121.465,31.245,121.47,31.25,西藏北路：双向畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
20,121.505,31.29,121.51,31.295,国权路：自西向东畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
21,121.515,31.205,121.52,31.21,浦东南路：双向畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
22,121.515,31.29,121.52,31.295,政本路：自南向北畅通，反向拥堵；国顺路：自西向东拥堵，华美达大酒店附近自北向南行驶缓慢；国定东路：自南向北畅通，反向缓慢。,73.33%,13.33%,13.33%,0.01%,拥挤,中度拥堵
23,121.53,31.31,121.535,31.315,中原路：从长海路到嫩江路行驶缓慢。,71.43%,14.29%,0.00%,14.28%,缓行,轻度拥堵
24,121.355,31.185,121.36,31.19,虹桥路：沪青平立交桥附近自东向西行驶缓慢。,94.44%,5.56%,0.00%,0.00%,缓行,轻度拥堵
25,121.375,31.195,121.38,31.2,虹桥路：从上海世贸商城到万豪虹桥大酒店畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
26,121.39,31.2,121.395,31.205,水城路：水霞公园附近自北向南行驶缓慢。,85.71%,14.29%,0.00%,0.00%,缓行,轻度拥堵
27,121.4,31.205,121.405,31.21,仙霞路：仲盛大厦附近自西向东行驶缓慢。,85.71%,14.29%,0.00%,0.00%,缓行,轻度拥堵
28,121.405,31.235,121.41,31.24,枣阳路：从兰溪路到金沙江路严重拥堵。,75.00%,12.50%,12.50%,0.00%,缓行,轻度拥堵
29,121.41,31.21,121.415,31.215,内环高架路：内环延安西路立交桥附近外圈方向行驶缓慢，从南浦大桥到杨浦大桥畅通。,90.91%,9.09%,0.00%,0.00%,缓行,轻度拥堵
30,121.415,31.19,121.42,31.195,内环高架路：内环延安西路立交桥附近外圈方向行驶缓慢，从南浦大桥到杨浦大桥畅通。,83.33%,16.67%,0.00%,0.00%,缓行,轻度拥堵
31,121.415,31.195,121.42,31.2,内环高架路：内环延安西路立交桥附近外圈方向行驶缓慢，从南浦大桥到杨浦大桥畅通。,85.71%,14.29%,0.00%,0.00%,缓行,轻度拥堵
32,121.43,31.25,121.435,31.255,内环高架路：恒丰北路立交桥附近外圈方向行驶缓慢，从南浦大桥到杨浦大桥畅通；石泉路：从岚皋路到光新路行驶缓慢。,75.00%,25.00%,0.00%,0.00%,缓行,轻度拥堵
33,121.43,31.255,121.435,31.26,光新路：双向畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
34,121.435,31.26,121.44,31.265,宜川路：双向畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
35,121.44,31.225,121.445,31.23,北京西路：双向畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
36,121.44,31.26,121.445,31.265,沪太路：双向畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
37,121.445,31.23,121.45,31.235,常德路：双向畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
38,121.45,31.26,121.455,31.265,柳营路：双向畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
39,121.45,31.27,121.455,31.275,南北高架路：从广中西路到北京西路严重拥堵；延长中路：市第十人民医院附近自东向西行驶缓慢。,66.67%,16.67%,16.67%,0.01%,拥挤,中度拥堵
40,121.455,31.235,121.46,31.24,恒丰路：双向畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
41,121.46,31.235,121.465,31.24,南北高架路：从广中西路到北京西路严重拥堵；新闸路：新金桥广场附近自西向东行驶缓慢。,81.82%,9.09%,9.09%,0.00%,缓行,轻度拥堵
42,121.46,31.24,121.465,31.245,南北高架路：从广中西路到北京西路严重拥堵；梅园路：自南向北缓慢，反向畅通。,86.67%,6.67%,6.67%,0.01%,缓行,轻度拥堵
43,121.46,31.245,121.465,31.25,南北高架路：从广中西路到北京西路严重拥堵；秣陵路：从大统路到梅园路行驶缓慢。,83.33%,8.33%,8.33%,0.01%,缓行,轻度拥堵
44,121.465,31.225,121.47,31.23,南北高架路：从徐家汇路到延安东路立交桥行驶缓慢，从北京西路到延安东路立交桥行驶缓慢；武胜路：上海迪美购物中心附近自东向西行驶缓慢。,78.95%,15.79%,5.26%,0.00%,缓行,轻度拥堵
45,121.465,31.27,121.47,31.275,同心路：自东向西畅通，反向缓慢。,91.67%,8.33%,0.00%,0.00%,缓行,轻度拥堵
46,121.475,31.235,121.48,31.24,福建中路：从福州路到福建北路行驶缓慢；湖北路：从浙江中路到福州路行驶缓慢；浙江中路：从南苏州路到福州路行驶缓慢。,66.67%,33.33%,0.00%,0.00%,缓行,轻度拥堵
47,121.475,31.275,121.48,31.28,内环高架路：从逸仙高架路出口到共和新路立交桥行驶缓慢，从南浦大桥到杨浦大桥畅通；水电路：从广中路到广灵四路行驶缓慢。,70.00%,30.00%,0.00%,0.00%,缓行,轻度拥堵
48,121.475,31.28,121.48,31.285,水电路：从广中路到广灵四路行驶缓慢。,50.00%,50.00%,0.00%,0.00%,缓行,轻度拥堵
49,121.48,31.235,121.485,31.24,汉口路：自西向东缓慢；福建中路：从福州路到福建北路行驶缓慢；南京东路：自西向东畅通，反向缓慢。,75.00%,25.00%,0.00%,0.00%,缓行,轻度拥堵
50,121.505,31.3,121.51,31.305,国定路：自北向南畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
